,AI Class,Species Desc,X,Y,Width,Height
485,MTRNA,Mixed Tern Adult,4613,4931,95,57
486,MTRNA,Mixed Tern Adult,4693,4991,75,86
487,MTRNA,Mixed Tern Adult,4759,4994,82,80
488,MTRNA,Mixed Tern Adult,4768,4874,69,80
489,MTRNA,Mixed Tern Adult,4694,4683,86,80
490,MTRNA,Mixed Tern Adult,4747,5084,54,123
491,MTRNA,Mixed Tern Adult,4750,5204,83,77
492,MTRNA,Mixed Tern Adult,4663,5251,99,76
493,MTRNA,Mixed Tern Adult,4730,5358,87,98
494,MTRNA,Mixed Tern Adult,4836,5416,70,44
495,MTRNA,Mixed Tern Adult,5143,5165,96,64
496,MTRNA,Mixed Tern Adult,5432,5260,64,108
497,MTRNA,Mixed Tern Adult,4814,5019,95,62
498,MTRNA,Mixed Tern Adult,4957,5022,105,56
499,MTRNA,Mixed Tern Adult,4913,4919,100,67
500,MTRNA,Mixed Tern Adult,4997,4851,64,94
501,MTRNA,Mixed Tern Adult,4898,4810,76,117
502,MTRNA,Mixed Tern Adult,4802,4782,89,63
503,MTRNA,Mixed Tern Adult,4834,4625,51,98
504,MTRNA,Mixed Tern Adult,4667,4555,63,83
505,MTRNA,Mixed Tern Adult,4599,4521,68,102
506,MTRNA,Mixed Tern Adult,4503,4439,80,93
507,MTRNA,Mixed Tern Adult,4725,4482,72,85
508,MTRNA,Mixed Tern Adult,4782,4544,90,48
509,MTRNA,Mixed Tern Adult,4878,4552,96,67
510,MTRNA,Mixed Tern Adult,4917,4638,102,71
511,MTRNA,Mixed Tern Adult,5011,4657,60,89
512,MTRNA,Mixed Tern Adult,4897,4728,80,70
513,MTRNA,Mixed Tern Adult,4969,4785,108,67
514,MTRNA,Mixed Tern Adult,5097,4751,66,102
515,MTRNA,Mixed Tern Adult,5105,4662,112,43
516,MTRNA,Mixed Tern Adult,5181,4806,99,54
517,MTRNA,Mixed Tern Adult,5160,4856,57,100
518,MTRNA,Mixed Tern Adult,5072,4850,93,103
519,MTRNA,Mixed Tern Adult,5068,4970,57,120
520,MTRNA,Mixed Tern Adult,5157,5041,75,92
521,MTRNA,Mixed Tern Adult,5280,5055,105,69
522,MTRNA,Mixed Tern Adult,5359,4939,84,71
523,MTRNA,Mixed Tern Adult,5334,4857,94,75
524,MTRNA,Mixed Tern Adult,5296,4779,70,87
525,MTRNA,Mixed Tern Adult,5213,4697,87,78
526,MTRNA,Mixed Tern Adult,5323,4678,104,62
527,MTRNA,Mixed Tern Adult,5244,4598,87,83
528,MTRNA,Mixed Tern Adult,5179,4556,90,71
529,MTRNA,Mixed Tern Adult,5074,4568,100,43
530,MTRNA,Mixed Tern Adult,4992,4464,71,87
531,MTRNA,Mixed Tern Adult,4832,4452,78,74
532,MTRNA,Mixed Tern Adult,4933,4382,107,58
533,MTRNA,Mixed Tern Adult,5097,4393,54,98
534,MTRNA,Mixed Tern Adult,4652,4402,78,92
535,MTRNA,Mixed Tern Adult,4558,4385,78,88
536,MTRNA,Mixed Tern Adult,4412,4403,68,86
537,MTRNA,Mixed Tern Adult,4306,4403,75,80
538,MTRNA,Mixed Tern Adult,4118,4368,93,83
539,MTRNA,Mixed Tern Adult,4199,4326,81,65
540,MTRNA,Mixed Tern Adult,4734,4322,76,91
541,MTRNA,Mixed Tern Adult,4828,4340,105,63
542,MTRNA,Mixed Tern Adult,5228,4371,68,93
543,MTRNA,Mixed Tern Adult,5318,4367,78,68
544,MTRNA,Mixed Tern Adult,5401,4379,107,55
545,MTRNA,Mixed Tern Adult,5381,4463,68,97
546,MTRNA,Mixed Tern Adult,5457,4522,75,111
547,MTRNA,Mixed Tern Adult,5446,4617,62,108
548,MTRNA,Mixed Tern Adult,5482,4732,124,58
549,MTRNA,Mixed Tern Adult,5381,4751,116,69
550,MTRNA,Mixed Tern Adult,5463,4786,53,104
551,MTRNA,Mixed Tern Adult,5454,4960,46,121
552,MTRNA,Mixed Tern Adult,5397,5128,109,55
553,MTRNA,Mixed Tern Adult,5499,5200,113,60
554,MTRNA,Mixed Tern Adult,5503,5049,85,72
555,MTRNA,Mixed Tern Adult,5516,4949,104,71
556,MTRNA,Mixed Tern Adult,5543,4845,92,69
557,MTRNA,Mixed Tern Adult,5653,4738,107,78
558,MTRNA,Mixed Tern Adult,5495,4603,97,69
559,MTRNA,Mixed Tern Adult,5565,4534,100,65
560,MTRNA,Mixed Tern Adult,5552,4430,95,73
561,MTRNA,Mixed Tern Adult,5438,4436,126,67
562,MTRNA,Mixed Tern Adult,5506,4327,107,71
563,MTRNA,Mixed Tern Adult,5599,4352,90,61
564,MTRNA,Mixed Tern Adult,5671,4450,86,68
565,MTRNA,Mixed Tern Adult,5666,4529,68,101
566,MTRNA,Mixed Tern Adult,5683,4631,71,84
567,MTRNA,Mixed Tern Adult,5624,5052,60,133
568,MTRNA,Mixed Tern Adult,5712,5165,65,92
569,MTRNA,Mixed Tern Adult,5711,4326,54,109
570,MTRNA,Mixed Tern Adult,5575,4241,51,100
571,MTRNA,Mixed Tern Adult,5647,4228,97,66
572,MTRNA,Mixed Tern Adult,5455,4261,84,68
573,MTRNA,Mixed Tern Adult,5376,4279,60,88
574,MTRNA,Mixed Tern Adult,5276,4281,42,96
575,MTRNA,Mixed Tern Adult,5185,4284,107,49
576,MTRNA,Mixed Tern Adult,5112,4339,112,54
577,MTRNA,Mixed Tern Adult,5047,4280,68,112
578,MTRNA,Mixed Tern Adult,4939,4261,72,82
579,MTRNA,Mixed Tern Adult,4854,4238,79,90
580,MTRNA,Mixed Tern Adult,4732,4252,70,85
581,MTRNA,Mixed Tern Adult,4645,4218,90,81
582,MTRNA,Mixed Tern Adult,4570,4307,95,80
583,MTRNA,Mixed Tern Adult,4452,4294,55,107
584,MTRNA,Mixed Tern Adult,4438,4234,89,66
585,MTRNA,Mixed Tern Adult,4565,4140,64,98
586,MTRNA,Mixed Tern Adult,4620,4133,93,62
587,MTRNA,Mixed Tern Adult,4555,4082,92,64
588,MTRNA,Mixed Tern Adult,4689,4074,94,60
589,MTRNA,Mixed Tern Adult,4736,4136,80,91
590,MTRNA,Mixed Tern Adult,4820,4116,82,69
591,MTRNA,Mixed Tern Adult,4372,4210,93,58
592,MTRNA,Mixed Tern Adult,4356,4298,56,92
593,MTRNA,Mixed Tern Adult,4306,4246,43,122
594,MTRNA,Mixed Tern Adult,4266,4133,95,64
595,MTRNA,Mixed Tern Adult,4119,4286,83,78
596,MTRNA,Mixed Tern Adult,4146,4168,80,69
597,MTRNA,Mixed Tern Adult,4155,4093,94,57
598,MTRNA,Mixed Tern Adult,4036,4088,66,91
599,MTRNA,Mixed Tern Adult,4114,4007,78,66
600,MTRNA,Mixed Tern Adult,4019,4319,77,86
601,MTRNA,Mixed Tern Adult,3957,4413,113,64
602,MTRNA,Mixed Tern Adult,4624,3961,87,85
603,MTRNA,Mixed Tern Adult,4838,4004,48,93
604,MTRNA,Mixed Tern Adult,4979,4035,88,52
605,MTRNA,Mixed Tern Adult,4923,4120,92,57
606,MTRNA,Mixed Tern Adult,5033,4174,56,100
607,MTRNA,Mixed Tern Adult,5101,4131,98,46
608,MTRNA,Mixed Tern Adult,5136,4228,68,87
609,MTRNA,Mixed Tern Adult,5203,4072,78,72
610,MTRNA,Mixed Tern Adult,5233,4191,71,91
611,MTRNA,Mixed Tern Adult,5294,4100,63,101
612,MTRNA,Mixed Tern Adult,5128,4009,96,57
613,MTRNA,Mixed Tern Adult,5214,3964,89,72
614,MTRNA,Mixed Tern Adult,5387,4033,64,79
615,MTRNA,Mixed Tern Adult,5464,4162,69,106
616,MTRNA,Mixed Tern Adult,5331,4215,81,55
617,MTRNA,Mixed Tern Adult,5485,4049,112,61
618,MTRNA,Mixed Tern Adult,5613,4100,106,83
619,MTRNA,Mixed Tern Adult,5388,3902,71,124
620,MTRNA,Mixed Tern Adult,4113,3916,100,57
621,MTRNA,Mixed Tern Adult,4033,3900,79,88
622,MTRNA,Mixed Tern Adult,4111,3776,59,89
623,MTRNA,Mixed Tern Adult,4012,3761,101,65
624,MTRNA,Mixed Tern Adult,4171,3800,99,53
625,MTRNA,Mixed Tern Adult,4143,3677,60,99
626,MTRNA,Mixed Tern Adult,4135,3555,101,58
627,MTRNA,Mixed Tern Adult,4141,3455,91,64
628,MTRNA,Mixed Tern Adult,4027,3390,68,95
629,MTRNA,Mixed Tern Adult,4018,3492,76,97
630,MTRNA,Mixed Tern Adult,3990,3628,98,71
631,MTRNA,Mixed Tern Adult,4195,3373,83,58
632,MTRNA,Mixed Tern Adult,4027,3293,72,97
633,MTRNA,Mixed Tern Adult,4146,3278,93,84
634,MTRNA,Mixed Tern Adult,5843,4173,107,62
635,MTRNA,Mixed Tern Adult,5749,4291,75,86
636,MTRNA,Mixed Tern Adult,5856,4288,51,112
637,MTRNA,Mixed Tern Adult,5791,4383,94,65
638,MTRNA,Mixed Tern Adult,5913,4358,52,83
639,MTRNA,Mixed Tern Adult,5845,4446,66,83
640,MTRNA,Mixed Tern Adult,5909,4443,100,72
641,MTRNA,Mixed Tern Adult,5971,4382,84,87
642,MTRNA,Mixed Tern Adult,6140,4321,43,108
643,MTRNA,Mixed Tern Adult,6187,4477,81,101
644,MTRNA,Mixed Tern Adult,6129,4541,79,85
645,MTRNA,Mixed Tern Adult,6076,4434,74,104
646,MTRNA,Mixed Tern Adult,5971,4529,83,80
647,MTRNA,Mixed Tern Adult,5989,4614,109,48
648,MTRNA,Mixed Tern Adult,6087,4643,83,83
649,MTRNA,Mixed Tern Adult,5721,5057,84,95
650,MTRNF,Mixed Tern Flying,3700,4528,136,248
651,MTRNF,Mixed Tern Flying,6378,4848,119,263
652,MTRNF,Mixed Tern Flying,6785,5134,138,199
653,MTRNF,Mixed Tern Flying,6158,5096,126,253
654,OTHRA,Other Bird,874,3740,46,62
655,OTHRA,Other Bird,3469,4887,49,32
656,OTHRA,Other Bird,5468,47,37,62
657,OTHRA,Other Bird,6016,5132,36,70
